Year,ID,MapID,Input,Original_revised_to_uniform_VVL,MapID_Source.Local_Alias,Units,TrimRevisedOriginal,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,QC_accrued,QC1,QCplus_minus,QC2,QC_tally,QC3
1979,197901,1001,+,+Kern River at First Point of Measurement,Flow at Hart Park First Point,AF,Kern River at First Point of Measurement,32549,31793,45903,46508,62557,109987,126343,107605,32267,22792,18855,18909,656068,656068,TRUE,+656068,,+656068,
1979,197902,2001,-,-Computed Loss,Computed Loss,AF,Computed Loss,676,611,676,655,676,655,676,676,655,676,655,676,7963,7963,TRUE,-7963,,648105,
1979,197903,1010,-,-Beardsley Canal at Head,Beardsley Diversion,AF,Beardsley Canal at Head,8029,14600,11226,17486,27471,34905,36404,27592,11768,7862,11437,8319,217099,217099,TRUE,-217099,,431006,
1979,197904,1020,-,-Carrier Canal at Head,Carrier Diversion,AF,Carrier Canal at Head,10261,13926,34001,28367,34410,57516,58467,53703,19844,14253,6763,9914,341425,341425,TRUE,-341425,,89581,FALSE
1979,197905,1030,=,=Rocky Point Weir,Flow at PVP,AF,Rocky Point Weir,13583,2656,0,0,0,16911,30796,25634,0,0,0,0,89581,89580,FALSE,=89580,TRUE,89581,
1979,197906,1031,+,+Carrier Waste Gate,Carrier Waste Gate,AF,Carrier Waste Gate,0,0,0,1160,4,954,0,0,0,0,0,246,2364,2364,TRUE,+2364,,91945,
1979,197907,1032,+,+Farmers-Stine-Anderson: to River,Farmers-Stine-Anderson: to River,AF,Farmers-Stine-Anderson: to River,256,3473,3742,2033,2680,609,0,1323,3221,3108,537,147,21129,21129,TRUE,+21129,,113074,
1979,197908,1033,-,-Farmers-Stine-Anderson: from River,Farmers-Stine-Anderson: from River,AF,Farmers-Stine-Anderson: from River,1529,0,0,0,0,11580,13352,11407,18,0,0,0,37886,37886,TRUE,-37886,,75188,
1979,197909,1040,-,-Calloway Canal at Head,Calloway Diversion,AF,Calloway Canal at Head,12222,6035,1959,2122,3053,5919,14971,12178,1926,1817,319,0,62521,62521,TRUE,-62521,,12667,
1979,197910,2002,-,-River Loss: Rocky Point to Calloway Weir,River Loss: Rocky Point to Calloway Weir,AF,River Loss: Rocky Point to Calloway Weir,88,94,1402,1071,-369,939,1464,942,1277,1292,218,393,8811,8811,TRUE,-8811,,3856,TRUE
1979,197911,1050,=,=Calloway River Weir,Flow at Riverview Park,AF,Calloway River Weir,0,0,381,0,0,36,1009,2430,0,0,0,0,3856,3856,TRUE,=3856,TRUE,3856,
1979,197912,1051,+,+CVC T.O. #4 to River,CVC T.O. #4 to River,AF,CVC T.O. #4 to River,2928,4038,2186,3737,4725,3305,0,0,1156,343,1511,2759,26688,26688,TRUE,+26688,,30544,
1979,197913,1052,+,+CVC T.O. #3 to River,CVC T.O. #3 to River,AF,CVC T.O. #3 to River,3711,109,0,0,0,0,0,0,5006,6168,6272,3350,24616,24616,TRUE,+24616,,55160,
1979,197914,1054,+,+Friant-Kern Inflow,Friant-Kern Inflow,AF,Friant-Kern Inflow,250,7320,2513,14277,3307,0,0,0,0,0,0,0,27667,27667,TRUE,+27667,,82827,
1979,197915,1060,-,-River Canal from River,River Canal Diversion,AF,River Canal from River,0,0,0,0,0,0,0,0,266,3279,2620,905,7070,7070,TRUE,-7070,,75757,
